"ID","Title","President"
"10899","Authorization for the communication of restricted data by the Central Intelligence Agency","34 - Dwight D. Eisenhower"
"10900","ADMINISTRATION OF THE AGRICULTURAL TRADE DEVELOPMENT AND ASSISTANCE ACT OF 1954, AS AMENDED","34 - Dwight D. Eisenhower"
"10909","Amendment of Executive Order No. 10865, Safeguarding Classified Information Within Industry","34 - Dwight D. Eisenhower"
"10910","Providing for the design of the National Medal of Science","34 - Dwight D. Eisenhower"
"10925","Executive Order 10925","35 - John F. Kennedy"
"10942","Executive Order 10942","35 - John F. Kennedy"
"10946","Executive Order 10946","35 - John F. Kennedy"
"10952","Executive Order 10952","35 - John F. Kennedy"
"10957","Executive Order 10957","35 - John F. Kennedy"
"10961","Executive Order 10961","35 - John F. Kennedy"
"10973","Executive Order 10973","35 - John F. Kennedy"
"10976","Executive Order 10976","35 - John F. Kennedy"
"10995","Assigning Telecommunications Management Functions","35 - John F. Kennedy"
"10997","Executive Order 10997","35 - John F. Kennedy"
"10998","Executive Order 10998","35 - John F. Kennedy"
"10999","Executive Order 10999","35 - John F. Kennedy"
"11000","ASSIGNING EMERGENCY PREPAREDNESS FUNCTIONS TO THE SECRETARY OF LABOR","35 - John F. Kennedy"
"11001","Executive Order 11001","35 - John F. Kennedy"
"11002","Executive Order 11002","35 - John F. Kennedy"
"11003","Executive Order 11003","35 - John F. Kennedy"
"11004","Executive Order 11004","35 - John F. Kennedy"
"11005","Executive Order 11005","35 - John F. Kennedy"
"11014","Executive Order 11014","35 - John F. Kennedy"
"11023","Executive Order 11023","35 - John F. Kennedy"
"11024","Executive Order 11024","35 - John F. Kennedy"
"11044","Executive Order 11044","35 - John F. Kennedy"
"11047","Executive Order 11047","35 - John F. Kennedy"
"11051","Prescribing Responsibilities of the Office of Emergency Planning in the Executive Office of the President","35 - John F. Kennedy"
"11057","Executive Order 11057","35 - John F. Kennedy"
"11058","Executive Order 11058","35 - John F. Kennedy"
"11062","Executive Order 11062","35 - John F. Kennedy"
"11064","Executive Order 11064","35 - John F. Kennedy"
"11084","Executive Order 11084","35 - John F. Kennedy"
"11089","Executive Order 11089","35 - John F. Kennedy"
"11090","Executive Order 11090","35 - John F. Kennedy"
"11092","Executive Order 11092","35 - John F. Kennedy"
"11093","Executive Order 11093","35 - John F. Kennedy"
"11094","Executive Order 11094","35 - John F. Kennedy"
"11095","Executive Order 11095","35 - John F. Kennedy"
"11097","Amendment of Executive Order No. 10501, as Amended, Relating to Authority for the Original Classification of Defense Information and Material","35 - John F. Kennedy"
"11128","Executive Order 11128 Closing Government Departments and Agencies on November 25, 1963.","36 - Lyndon B. Johnson"
"11129","Executive Order 11129 Designating Facilities in Florida as the John F. Kennedy Space Center.","36 - Lyndon B. Johnson"
"11161","Relating to certain relationships between the Department of Defense and the Federal Aviation Administration","36 - Lyndon B. Johnson"
"11177","Providing for certain arrangements under the Columbia River Treaty","36 - Lyndon B. Johnson"
"11223","Relating to the performance of functions authorized by the Foreign Assistance Act of 1961, as amended","36 - Lyndon B. Johnson"
"11239","ENFORCEMENT OF THE CONVENTION FOR SAFETY OF LIFE AT SEA, 1960","36 - Lyndon B. Johnson"
"11287","Award and presentation of the National Medal of Science","36 - Lyndon B. Johnson"
"11327","ASSIGNING AUTHORITY TO ORDER CERTAIN PERSONS IN THE READY RESERVE TO ACTIVE DUTY","36 - Lyndon B. Johnson"
"11366","Assigning authority to order certain persons in the Ready Reserve to active duty","36 - Lyndon B. Johnson"
"11374","Abolishing the Missile Sites Labor Commission and providing for the performance of its functions","36 - Lyndon B. Johnson"
"11381","AMENDING EXECUTIVE ORDER NO. 10807 OF MARCH 13, 1959, RELATING TO THE FEDERAL COUNCIL FOR SCIENCE AND TECHNOLOGY","36 - Lyndon B. Johnson"
"11392","Ordering Certain Units of the Ready Reserve of the Naval Reserve, Air Force Reserve and Air National Guard of the United States to Active Duty","36 - Lyndon B. Johnson"
"11423","Providing for the performance of certain functions heretofore performed by the President with respect to certain facilities constructed and maintained on the borders of the United States","36 - Lyndon B. Johnson"
