"num","year","title","cluster","matchWords","stMatchRatio","word.count","eoMatches","st.flag","link"
"12364","1982","The Presidential Management Intern Program",10,"university; education",0.0015527950310559,644,"12008",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=42559"
"13318","2003","Presidential Management Fellows Program",10,"university; education",0.00121065375302663,826,"12364",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61413"
"13671","2014","Taking Additional Steps To Address the National Emergency With Respect to the Conflict in the Democratic Republic of the Congo",11,"security; foreign; DOTr; State; technolo",0.000870322019147084,1149,"13413",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=105387"
"10887","1960","Designating the Department of Commerce To Perform Functions With Respect to Participation of the United States in the Century 21 Exposition",12,"DOC; State; NSF; science/research",0.00909090909090909,220,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106552"
"11834","1975","Activation of the Energy Research and Development Administration and the Nuclear Regulatory Commission",12,"energy; OMB; science/research; DOI",0.0352112676056338,284,"11814",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=23912"
"12009","1977","Department of Energy",12,"DOE; OMB; energy",0.0307017543859649,228,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=6624"
"12346","1982","Synthetic Fuels",12,"DOE; energy; security",0.0151898734177215,395,"12242",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=42021"
"12854","1993","Implementation of the Cuban Democracy Act",12,"State; DOTr; DOC; technolo; FCC",0.00282485875706215,354,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61549"
"13458","2008","Implementation of the Protocol Additional to the Agreement Between the United States and the International Atomic Energy Agency for the Application of Safeguards in the United States of America",12,"nuclear; energy; State; DOJ; NRC; DOC; war",0.0154639175257732,388,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=76485"
"9942","1948","Providing for the Performance of Certain Functions Under the Rubber Act of 1948",12,"DOC; science/research",0.00409836065573771,244,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=78179"
"13354","2004","National Counterterrorism Center",13,"security; State; DOJ; DHS; foreign; OMB; DOE; budget",0.00053850296176629,1857,"12958; 12333",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61448"
"13356","2004","Strengthening the Sharing of Terrorism Information To Protect Americans",13,"DOJ; security; DHS; OMB; State; energy; environment; technolo; foreign; DOE; budget",0.0016120365394949,1861,"12958; 13311; 12333",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61450"
"13388","2005","Further Strengthening the Sharing of Terrorism Information To Protect Americans",13,"DOJ; security; State; energy; CIA; OMB; environment; DHS; DOE; budget",0.00158982511923688,1258,"12958; 13311; 13356",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=62527"
"12843","1993","Procurement Requirements and Policies for Federal Agencies for Ozone-Depleting Substances",14,"technolo; innovation; EPA; health; environment; OMB",0.00160642570281125,1245,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61539"
"10116","1950","Amending Portions of the Selective Service Regulations and Paragraph 2 of Executive Order No. 9988 of August 20, 1948",15,"DOD; medical; DOJ; war",0.000710479573712256,2815,"9988; 9979; 10001; 10008",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=78295"
"13129","1999","Blocking Property and Prohibiting Transactions With the Taliban",16,"security; foreign; DOTr; State; DOJ; technolo; comput; medical",0.00659133709981168,1062,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=57838"
"11609","1971","Delegating Certain Functions Vested in the President to Other Officers of the Government",17,"USDA; DOD; HUD; DOTr; foreign; health; education; State; medical; OMB; budget",0.000352858151023289,2834,"11302; 11429; 10604; 11230; 11275; 11290; 11294; 11541",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=59097"
"12656","1988","Assignment of Emergency Preparedness Responsibilities",18,"security; nuclear; technolo; budget; education; energy; DOTr; science/research; OSTP; USDA; DOC; DOD; HHS; DOI; EPA; health; State; DOE; NRC; NASA; DOL; HUD; DOJ; foreign; DOEd; DOT; medical; environment; war; FAA; economy; OMB",0.0085051030618371,9994,"12472; 10421; 11490",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=35183"
"9835","1947","Prescribing Procedures for the Administration of an Employees Loyalty Program in the Executive Branch of the Government",19,"university; security; DOJ; foreign; war; DOD; DOTr",0.000403388463089956,2479,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=75524"
"12569","1986","Compact of Free Association With the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau",20,"State; DOI; DOD; energy; OMB; security; DOJ",0.000650195058517555,1538,"11021",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=36608"
"12778","1991","Civil Justice Reform",21,"war; science/research; DOJ; budget; OMB; foreign; security",0.000289184499710815,3458,"12291",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=20129"
"12988","1996","Civil Justice Reform",21,"war; budget; OMB; DOJ; education; technolo; foreign; security",0.000361402240693892,2767,"12866; 12778",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=52167"
"13551","2010","Blocking Property of Certain Persons With Respect to North Korea",22,"security; nuclear; foreign; economy; DOTr; State; technolo; war",0.00144717800289436,1382,"13466",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=88363"
"13619","2012","Blocking Property of Persons Threatening the Peace, Security, or Stabilization of Burma",22,"security; foreign; DOTr; State; technolo",0.00212014134275618,1415,"13047; 13448; 13310; 13464",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=101361"
"13687","2015","Imposing Additional Sanctions With Respect to North Korea",22,"security; comput; foreign; economy; DOTr; State; technolo",0.00173611111111111,1152,"13466; 13551; 13570",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=108103"
"10934","1961","Establishing the Administrative Conference of the United States",23,"economy; DOJ; science/research",0.000951474785918173,1051,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=58872"
"12857","1993","Budget Control",24,"budget; OMB; war; comput",0.000677966101694915,1475,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=61552"
"13080","1998","American Heritage Rivers Initiative Advisory Committee",25,"health; environment; education; innovation; CEQ; DOD",0.00135685210312076,737,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=55760"
"10010","1948","Creating an Emergency Board to Investigate Disputes Between the Akron & Barberton Belt Railroad Company and Other Carriers, and Certain of Their Employees",26,"engineering",0.000694444444444444,1440,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=78226"
"10511","1953","Creating an Emergency Board To Investigate Disputes Between the Akron, Canton and Youngstown Railroad Company and Other Carriers and Certain of Their Employees",26,"engineering",0.000687285223367698,1455,"",TRUE,"http://www.presidency.ucsb.edu/ws/index.php?pid=106604"
