"title","year","president","st.flag","matchWords","word.count","stMatchRatio","eoMatches.out","eoMatches.in","link"
"White House Fellowships","1976","38-Ford",FALSE,"",266,0,"11183","","http://www.presidency.ucsb.edu/ws/index.php?pid=23672"
"Further Exemption of John Monroe Johnson From Compulsory Retirement for Age","1949","33-Truman",FALSE,"",171,0,"9954","","http://www.presidency.ucsb.edu/ws/index.php?pid=78280"
"Creating an Emergency Board to Investigate Disputes Between the Carriers Represented by the National Railway Labor Conference and Certain of Their Employees","1967","36-Johnson",FALSE,"",1076,0,"","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=60546"
"Reports on International Organizations","1983","40-Reagan",FALSE,"__State__",130,0,"12374","12553","http://www.presidency.ucsb.edu/ws/index.php?pid=40966"
"Establishing the President's Advisory Council on the Arts","1963","35-Kennedy",FALSE,"__art__; __State__; __DOTr__; __DOD__; __DOI__; __DOL__; __health__; __education__; __GSA__",749,0,"","11124; 11208","http://www.presidency.ucsb.edu/ws/index.php?pid=59051"
"Providing for the Restoration of Law and Order in the Virgin Islands","1989","41-H.W. Bush",FALSE,"__DOD__; __DOJ__",315,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=60452"
"Amendment of Executive Order 10560, Providing for the Administration of the Agricultural Trade Development and Assistance Act of 1954, as Amended","1960","34-Eisenhower",FALSE,"__USDA__",232,0,"10560","10900; 12220","http://www.presidency.ucsb.edu/ws/index.php?pid=106549"
"Designating the Airport Being Constructed in the Counties of Fairfax and Loudoun in the State of Virginia as the Dulles International Airport","1959","34-Eisenhower",FALSE,"",204,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=59274"
"Designating Certain Officers of the Government to Which the Annual and Sick Leave Act of 1951, as Amended Shall Not Apply, and Delegating the Authority To Make Such Designations to the Chairman of the United States Civil Service Commission","1954","34-Eisenhower",FALSE,"__OMB__; __State__; __security__; __DOTr__; __DOD__; __DOI__; __DOL__; __DOC__; __CIA__; __GSA__; __war__",703,0,"","12107","http://www.presidency.ucsb.edu/ws/index.php?pid=60587"
"Placing an Additional Position in Level V of the Federal Executive Salary Schedule","1967","36-Johnson",FALSE,"__DOT__",84,0,"11248","","http://www.presidency.ucsb.edu/ws/index.php?pid=106080"
"Possession, Control, and Operation of the Transportation System, Plants, and Facilities of the Great Lakes Towing Company, Cleveland, Ohio","1945","33-Truman",FALSE,"__war__; __DOD__",728,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=60683"
"Further Amendment to Executive Order 12866 on Regulatory Planning and Review","2007","43-G. W. Bush",FALSE,"__war__; __economy__; __environment__; __health__; __budget__; __foreign__; __OMB__; __DOJ__",1059,0,"12866","13497","http://www.presidency.ucsb.edu/ws/index.php?pid=24456"
"Incentive Pay for Hazardous Duty","1982","40-Reagan",FALSE,"__health__",663,0,"11157","","http://www.presidency.ucsb.edu/ws/index.php?pid=42016"
"Amending Executive Order No. 8684 to Redefine the Culebra Island Naval Defensive Sea Area","1972","37-Nixon",FALSE,"",261,0,"","","http://www.presidency.ucsb.edu/ws/index.php?pid=60505"
"Adding the Small Business Administration to the President's Export Council","1996","42-Clinton",FALSE,"",99,0,"12131","","http://www.presidency.ucsb.edu/ws/index.php?pid=52501"
"Amending Executive Order No. 11246, Relating to  Equal Employment Opportunity","1967","36-Johnson",FALSE,"__DOL__",784,0,"11246","11478","http://www.presidency.ucsb.edu/ws/index.php?pid=60553"
