"","t.1","t.2","t.3","t.4","t.5","t.6","t.7","t.8","t.9","t.10","t.11","t.12","t.13","t.14","t.15","t.16","t.17","t.18","t.19","t.20","t.21","t.22","t.23","t.24","t.25","t.26","t.27","t.28","t.29","t.30","t.31","t.32","t.33","t.34","t.35","t.36","t.37","t.38","t.39","t.40","t.41","t.42","t.43","t.44","t.45","t.46","t.47","t.48","t.49","t.50","t.51","t.52","t.53","t.54","t.55","t.56","t.57","t.58","t.59","t.60","t.61","t.62","t.63","t.64","t.65","t.66","t.67","t.68","t.69","t.70","t.71","t.72","t.73","t.74","t.75","t.76","t.77","t.78","t.79","t.80"
"13092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122807694669345,0,0,0,0,0,0.192982517697213,0,0,0,0,0,0,0,0,0,0.21052622345418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.315788457995982,0,0,0,0,0,0,0,0,0,0,0,0.157895106183279,0
"12039",0,0,0,0,0,0,0,0,0,0,0,0,0,0.286290148608571,0,0,0,0,0,0,0,0.116935651339413,0.0766131519896129,0,0,0,0,0,0,0,0,0,0.354838397503231,0,0,0.165322650559172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12055",0,0,0,0,0,0,0,0.774191779407875,0,0,0,0,0,0,0,0,0.225808220592125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12026",0,0,0,0,0,0,0,0.17777841974738,0,0,0,0,0,0,0,0,0.133334370361152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111112345668039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577774864223429,0,0
"13123",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187381233389398,0,0,0,0,0,0,0,0,0,0,0,0,0.0813379199790315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0722159145243764,0,0.659064932107194,0,0,0,0
"12038",0,0,0,0,0,0,0,0.120000037646997,0,0,0,0,0,0.244705714602352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752942289271524,0,0,0.0658824797229746,0,0,0,0,0,0,0.162352909065797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157647034463708,0,0,0,0,0,0,0,0,0.174117595571019,0,0,0,0
"12344",0,0,0,0,0,0,0,0.297450202634216,0,0,0,0,0,0,0,0,0,0,0,0.06515597990485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0934845436523337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198300229518023,0,0,0,0,0,0,0.158640240271546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18696880401903,0,0,0,0,0
"10668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975613206419698,0,0,0,0,0,0,0,0,0,0,0.565853318263437,0.336585361094594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11381",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526962138796,0,0,0,0,0,0,0.543858541095398,0,0,0,0,0,0,0,0,0,0,0.245614496765807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540908561984433,0,0,0,0,0,0,0,0,0,0,0.209090983470939,0,0,0,0,0,0,0.131818396693824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118182057850804,0
