"num","title","link","year","word.count","president","party","eoMatches","matchWords","st.flag","matchWords.num","stMatch.count","stMatchRatio","PropSTtopic"
"10807","Federal Council for Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=106503","1959",1289,"34-Dwight D. Eisenhower","R","9912; 10521","__science/research__; __technology__; __security__; __health__; __economy__; __education__; __DOD__; __NSF__; __NASA__; __AEC__; __State__; __OMB__",TRUE,12,56,0.04344453064391,0.29336184722754
"10783","Transferring Certain Functions From the Department of Defense to the National Aeronautics and Space Administration","http://www.presidency.ucsb.edu/ws/index.php?pid=59266","1958",367,"34-Dwight D. Eisenhower","R","10530","__DOD__; __NASA__; __science/research__; __DOTr__; __OMB__; __budget__",TRUE,6,10,0.0272479564032698,0.285714128729105
"12660","National Microgravity Research Board","http://www.presidency.ucsb.edu/ws/index.php?pid=35271","1988",401,"40-Ronald Reagan","R","12591","__science/research__; __NASA__; __State__; __DOD__; __DOC__; __HHS__; __DOT__; __DOE__; __NSF__; __economy__; __environment__",TRUE,11,15,0.0374064837905237,0.284721532603661
"9913","Terminating the Office of Scientific Research and Development and Providing for the Completion of Its Liquidation","http://www.presidency.ucsb.edu/ws/index.php?pid=78155","1947",253,"33-Harry S. Truman","D","","__science/research__; __OMB__",TRUE,2,8,0.0316205533596838,0.282353453285992
"13237","Creation of the Presidents Council on Bioethics","http://www.presidency.ucsb.edu/ws/index.php?pid=61518","2001",960,"43-George W. Bush","R","","__medical__; __science/research__; __technology__; __education__; __HHS__",TRUE,5,21,0.021875,0.280748480082652
"13226","Presidents Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=61507","2001",493,"43-George W. Bush","R","12882; 12907; 13138","__PCAST__; __science/research__; __technology__; __NSTC__; __OSTP__",TRUE,5,31,0.0628803245436105,0.274390184414184
"11734","Revising the Membership of the President's Committee on the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=106769","1973",79,"37-Richard Nixon","R","11287","__science/research__",TRUE,1,3,0.0379746835443038,0.269230473377333
"9604","Providing for the Release of Scientific Information (Extension and Amendment of Executive Order No. 9568)","http://www.presidency.ucsb.edu/ws/index.php?pid=60669","1945",305,"33-Harry S. Truman","D","9568","__science/research__; __security__; __technology__; __war__; __DOD__",TRUE,5,9,0.0295081967213115,0.268517704051918
"13200","Presidents Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=61482","2001",173,"43-George W. Bush","R","13035; 13092; 13113","__technology__; __computing__; __science/research__",TRUE,3,5,0.0289017341040462,0.266666518519835
"13521","Establishing the Presidential Commission for the Study of Bioethical Issues","http://www.presidency.ucsb.edu/ws/index.php?pid=86944","2009",951,"44-Barack Obama","D","13237","__HHS__; __medical__; __science/research__; __technology__; __health__; __innovation__; __engineering__; __OMB__; __budget__",TRUE,9,27,0.028391167192429,0.26112750574554
