"EOtype","TotalDegree","InDegree","OutDegree","BetwCentrality","EigCentrality"
"S&T",3.1271186440678,1.41525423728814,1.71186440677966,0.0147411284165262,0
"non-S&T",2.52249388753056,1.26552567237164,1.25696821515892,0.00662655848812376,0
"AllEOs",2.53944866920152,1.26972433460076,1.26972433460076,0.00685410583877763,0
