"num","title","link","year","word.count","president","party","matchWords","st.flag","stMatchRatio"
"12038","Department of Energy","http://www.presidency.ucsb.edu/ws/index.php?pid=30050","1978",1582,"39-Jimmy Carter","D","__DOE__; __energy__; __science/research__; __DOI__; __AEC__; __ERDA__; __NRC__; __security__; __nuclear__; __foreign__; __GSA__; __OMB__",TRUE,0.0436156763590392
"11726","Energy Policy Office","http://www.presidency.ucsb.edu/ws/index.php?pid=106763","1973",462,"37-Richard Nixon","R","__energy__; __OMB__; __GSA__",TRUE,0.0432900432900433
"12231","Strategic Petroleum Reserve","http://www.presidency.ucsb.edu/ws/index.php?pid=44874","1980",185,"39-Jimmy Carter","D","__energy__; __security__; __DOE__",TRUE,0.0432432432432432
"12026","Energy Department Employees","http://www.presidency.ucsb.edu/ws/index.php?pid=6986","1977",141,"39-Jimmy Carter","D","__energy__; __DOE__; __AEC__; __ERDA__",TRUE,0.0425531914893617
"13113","President's Information Technology Advisory Committee, Further Amendments to Executive Order 13035, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=56879","1999",287,"42-William J. Clinton","D","__technology__; __computing__; __science/research__",TRUE,0.0418118466898955
"10807","Federal Council for Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=106503","1959",1289,"34-Dwight D. Eisenhower","R","__NSTC__; __science/research__; __technology__; __security__; __health__; __economy__; __education__; __OSTP__; __DOD__; __NSF__; __NASA__; __AEC__; __State__; __OMB__; __PCAST__",TRUE,0.0411171450737005
"13134","Developing and Promoting Biobased Products and Bioenergy","http://www.presidency.ucsb.edu/ws/index.php?pid=58047","1999",1565,"42-William J. Clinton","D","__energy__; __technology__; __economy__; __foreign__; __science/research__; __USDA__; __EPA__; __OMB__; __NSF__; __environment__; __DOE__; __security__; __budget__; __university__",TRUE,0.0408945686900958
"13305","Extension of the Presidents Information Technology Advisory Committee and the Presidents Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=61400","2003",175,"43-George W. Bush","R","__technology__; __PCAST__; __computing__; __science/research__",TRUE,0.04
"11933","Termination of the Federal Energy Office","http://www.presidency.ucsb.edu/ws/index.php?pid=23664","1976",251,"38-Gerald R. Ford","R","__energy__",TRUE,0.0398406374501992
"12184","President's Special Commission for the Study of Ethical Problems in Medicine and Biomedical and Behavioral Research","http://www.presidency.ucsb.edu/ws/index.php?pid=31843","1979",304,"39-Jimmy Carter","D","__medical__; __science/research__; __health__; __education__; __GSA__",TRUE,0.0394736842105263
"9791","Providing for a Study of Scientific Reseach and Development Activities and Establishing the President's Scientific Research Board","http://www.presidency.ucsb.edu/ws/index.php?pid=77965","1946",609,"33-Harry S. Truman","D","__science/research__; __economy__; __war__; __budget__; __USDA__; __DOC__; __DOI__; __DOD__; __OSTP__; __FCC__; __NASA__",TRUE,0.0394088669950739
"11089","Assigning Emergency Preparedness Functions to the Atomic Energy Commission","http://www.presidency.ucsb.edu/ws/index.php?pid=59028","1963",891,"35-John F. Kennedy","D","__AEC__; __nuclear__; __energy__; __DOD__; __technology__; __health__; __science/research__; __engineering__; __foreign__; __education__",TRUE,0.0381593714927048
"11734","Revising the Membership of the President's Committee on the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=106769","1973",79,"37-Richard Nixon","R","__science/research__",TRUE,0.0379746835443038
"11814","Activation of the Energy Resources Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23901","1974",532,"38-Gerald R. Ford","R","__energy__; __DOI__; __economy__; __State__; __DOTr__; __DOD__; __DOJ__; __DOC__; __DOT__; __AEC__; __OMB__; __ERDA__; __EPA__; __CEQ__; __NSF__",TRUE,0.037593984962406
"12660","National Microgravity Research Board","http://www.presidency.ucsb.edu/ws/index.php?pid=35271","1988",401,"40-Ronald Reagan","R","__science/research__; __NASA__; __State__; __DOD__; __DOC__; __HHS__; __DOT__; __DOE__; __NSF__; __economy__; __environment__",TRUE,0.0374064837905237
"12501","Arctic Research","http://www.presidency.ucsb.edu/ws/index.php?pid=38955","1985",1426,"40-Ronald Reagan","R","__science/research__; __health__; __environment__; __NSF__; __DOC__; __DOD__; __DOE__; __DOI__; __State__; __DOT__; __HHS__; __NASA__; __EPA__; __OSTP__; __university__; __budget__; __foreign__",TRUE,0.0364656381486676
"12712","Adding the Secretary of Energy to the National Space Council","http://www.presidency.ucsb.edu/ws/index.php?pid=23557","1990",83,"41-George H. W. Bush","R","__DOE__",TRUE,0.036144578313253
"12832","Amendments Relating to the National Research Council","http://www.presidency.ucsb.edu/ws/index.php?pid=368","1993",974,"41-George H. W. Bush","R","__science/research__; __art__; __engineering__; __medical__; __math__; __environment__; __security__; __economy__; __health__; __foreign__; __OMB__",TRUE,0.0359342915811088
"9912","Establishing the Interdepartmental Committee on Scientific Research and Development","http://www.presidency.ucsb.edu/ws/index.php?pid=60725","1947",448,"33-Harry S. Truman","D","__science/research__; __USDA__; __security__; __AEC__; __NASA__",TRUE,0.0357142857142857
"11502","Enlarging the Membership of the President's Committee on the National Medal of Science","http://www.presidency.ucsb.edu/ws/index.php?pid=106006","1969",121,"37-Richard Nixon","R","__science/research__",TRUE,0.0330578512396694
"11381","Amending Executive Order No. 10807 of March 13, 1959, Relating to the Federal Council for Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=60556","1967",213,"36-Lyndon B. Johnson","D","__NSTC__; __OSTP__; __USDA__; __DOC__; __DOD__; __health__; __education__; __HUD__; __DOI__; __State__; __DOT__; __AEC__; __NASA__; __NSF__; __OMB__",TRUE,0.0328638497652582
"13211","Actions Concerning Regulations That Significantly Affect Energy Supply, Distribution, or Use","http://www.presidency.ucsb.edu/ws/index.php?pid=61492","2001",643,"43-George W. Bush","R","__energy__; __OMB__; __foreign__",TRUE,0.0326594090202177
"13624","Accelerating Investment in Industrial Energy Efficiency","http://www.presidency.ucsb.edu/ws/index.php?pid=101977","2012",1011,"44-Barack Obama","D","__energy__; __DOE__; __EPA__; __economy__; __CEQ__; __OSTP__; __technology__; __OMB__; __budget__",TRUE,0.0326409495548961
"13451","Designating the ITER International Fusion Energy Organization as a Public International Organization Entitled To Enjoy Certain Privileges, Exemptions, and Immunities","http://www.presidency.ucsb.edu/ws/index.php?pid=76079","2007",184,"43-George W. Bush","R","__energy__; __DOE__",TRUE,0.0326086956521739
"10793","Transferring Certain Functions From the Department of Defense to the National Aeronautics and Space Administration","http://www.presidency.ucsb.edu/ws/index.php?pid=59269","1958",355,"34-Dwight D. Eisenhower","R","__DOD__; __NASA__; __budget__; __technology__; __science/research__; __engineering__; __DOTr__",TRUE,0.0309859154929577
"13335","Incentives for the Use of Health Information Technology and Establishing the Position of the National Health Information Technology Coordinator","http://www.presidency.ucsb.edu/ws/index.php?pid=61429","2004",946,"43-George W. Bush","R","__health__; __technology__; __HHS__; __medical__; __science/research__; __economy__; __security__; __computing__; __OMB__; __VA__; __DOD__",TRUE,0.0306553911205074
"9604","Providing for the Release of Scientific Information (Extension and Amendment of Executive Order No. 9568)","http://www.presidency.ucsb.edu/ws/index.php?pid=60669","1945",305,"33-Harry S. Truman","D","__science/research__; __security__; __technology__; __war__; __DOD__",TRUE,0.0295081967213115
"12700","President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=23546","1990",441,"41-George H. W. Bush","R","__PCAST__; __science/research__; __technology__; __OSTP__; __GSA__",TRUE,0.0294784580498866
"13435","Expanding Approved Stem Cell Lines in Ethically Responsible Ways","http://www.presidency.ucsb.edu/ws/index.php?pid=75464","2007",892,"43-George W. Bush","R","__science/research__; __HHS__; __health__; __NIH__; __medical__; __nuclear__",TRUE,0.0291479820627803
"13200","Presidents Information Technology Advisory Committee, Further Amendment to Executive Order 13035, as Amended","http://www.presidency.ucsb.edu/ws/index.php?pid=61482","2001",173,"43-George W. Bush","R","__technology__; __computing__; __science/research__",TRUE,0.0289017341040462
"13521","Establishing the Presidential Commission for the Study of Bioethical Issues","http://www.presidency.ucsb.edu/ws/index.php?pid=86944","2009",951,"44-Barack Obama","D","__HHS__; __medical__; __science/research__; __technology__; __health__; __innovation__; __engineering__; __GSA__; __OMB__; __budget__",TRUE,0.028391167192429
"10596","Revocation of Executive Order No. 9908 of December 5, 1947","http://www.presidency.ucsb.edu/ws/index.php?pid=106399","1955",388,"34-Dwight D. Eisenhower","R","__nuclear__; __energy__; __AEC__",TRUE,0.0283505154639175
"13329","Encouraging Innovation in Manufacturing","http://www.presidency.ucsb.edu/ws/index.php?pid=61424","2004",601,"43-George W. Bush","R","__innovation__; __technology__; __economy__; __science/research__; __OSTP__; __OMB__; __budget__",TRUE,0.0282861896838602
"12768","Extension of the President's Council of Advisors on Science and Technology","http://www.presidency.ucsb.edu/ws/index.php?pid=23607","1991",71,"41-George H. W. Bush","R","__PCAST__",TRUE,0.028169014084507
"10783","Transferring Certain Functions From the Department of Defense to the National Aeronautics and Space Administration","http://www.presidency.ucsb.edu/ws/index.php?pid=59266","1958",367,"34-Dwight D. Eisenhower","R","__DOD__; __NASA__; __science/research__; __DOTr__; __OMB__; __budget__",TRUE,0.0272479564032698
"12902","Energy Efficiency and Water Conservation at Federal Facilities","http://www.presidency.ucsb.edu/ws/index.php?pid=49774","1994",1481,"42-William J. Clinton","D","__energy__; __environment__; __DOD__; __OMB__; __technology__; __DOE__",TRUE,0.0270087778528022
"13419","National Aeronautics Research and Development","http://www.presidency.ucsb.edu/ws/index.php?pid=24393","2006",1013,"43-George W. Bush","R","__science/research__; __technology__; __NASA__; __economy__; __security__; __foreign__; __NSTC__; __OSTP__; __OMB__; __innovation__; __education__; __DOD__; __DOT__; __budget__",TRUE,0.0266535044422507
