"Title","# EOs Mentioned","% S&T Words","Word Count"
"Department of Energy (Carter)",26,4.4,1582
"Membership of Energy Research and Development Administration on Established River Basin Commissions (Ford)",5,2.3,217
"Federal Emergency Management Agency; Department of Energy (Carter)",5,4.1,218
"Improving Critical Infrastructure Cybersecurity (Obama)",5,2.1,3084
"Abolishing the Energy Policy Office (Nixon)",3,2.4,412
