"Title","# EOs Mentioned","% S&T Words","Word Count"
"Award and Presentation of the National Medal of Science (Johnson)",24,2.6,1365
"Delegation of Authorities Relating to Energy Policy and Conservation (Ford)",7,2.3,1385
"Department of Energy (Carter)",7,4.4,1582
"Presidents Council of Advisors on Science and Technology (G. W. Bush)",6,6.3,494
"Tribal Colleges and Universities (G. W. Bush)",6,2.7,1496
